Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
M10 ,BRASS SPRING WASHERS,300,N/A,174-310819,11/01/2016,A70,A70,,PO001379,U:\DOC098.pdf,
PRS11D03TH,PRIMA AUXILIARY RELAY,40,N/A,85714515,12/01/2016,A54,A54,,PO001315,U:\DOC099.pdf,
A29-TP-DET-0013-C02,RUBBING STRIP,24,N/A,13326,13/01/2016,A29,A29,,PO001351,U:\DOC104.pdf,
BC5002 013,MCB FRONT PLATE SIZE 2,190,N/A,13324,13/01/2016,A70,A70,,PO001308,U:\DOC103.pdf,
CGS-2520-16S-8PC,CISCO SWITCH,12,N/A,22721534,13/01/2016,A70,A70,,D.RUSSELL,U:\DOC105.pdf,
369100001,CEWE METER FIXING,1,R0002939,273400,13/01/2016,A70,A70,,D.RUSSELL,U:\DOC105.pdf,
365243824,CEWE METER   ,2,CR099694/5,273400,13/01/2016,A70,A70,,D.RUSSELL,U:\DOC105.pdf,
25 x 6MM,EARTH BAR,23,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC107.pdf,
25 x 6MM MB,EARTH BAR MOUNTING BRACKET,23,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC107.pdf,
E/UK,END BRACKET,500,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC107.pdf,
USLKG16,TERMINAL,50,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC107.pdf,
4A 2P AC ,MCB,60,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC107.pdf,
16A 2P  DC,MCB,40,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC107.pdf,
10A 2P DC,MCB,20,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC107.pdf,
JTECH,MCB PADLOCKING DEVICE,60,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC106.pdf,
102-3947,817-8855 PLUG,18 PACKS,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC106.pdf,
SZ2586010,RITTAL ,23,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC106.pdf,
2A 2P 10KA ,MCB,52,N/A,174-310022,13/01/2016,A70,A70,,PO001360,U:\DOC106.pdf,
